#,QTY,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description
1,3,"J1, J3, J5",Molex,73137-5003,Mouser,538-73137-5003,RF Connectors / Coaxial Connectors RA JACK PCB BHD LPRO
2,3,"J2, J4, J6",Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers"
